Subject Code,Subject Title,Subject Group Code,Component Code,For Every (Week),Start Week,End Week,Day of Week,Start Time,End Time,Venue,Teaching Staff,Remark
ABCT4104,RECENT DEVELOPMENTS IN MEDICAL BIOTECHNOLOGY,"1000, 1002",LAB001,1,1,13,Thu,8:30,11:20,"Y1118, Y1120","LEE, terence KW, vincent KENG",
ABCT4104,RECENT DEVELOPMENTS IN MEDICAL BIOTECHNOLOGY,"1000, 1002",LTL001,1,1,13,Mon,8:30,11:20,Y512,"LEE, terence KW, vincent KENG",
ABCT4110,MICROBIAL BIOTECHNOLOGY,1002,LAB001,1,6,6,Sat,8:30,17:20,"Y1118, Y1120, Y1216","CHUA, Song Lin",
ABCT4110,MICROBIAL BIOTECHNOLOGY,1002,LTL001,1,1,13,Fri,12:30,15:20,Y302,"CHUA, Song Lin",
ABCT4111,PROJECT,1002,POJ001,1,1,3,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4111,PROJECT,1002,POJ001,1,1,3,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4111,PROJECT,1002,POJ001,1,5,5,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4111,PROJECT,1002,POJ001,1,5,5,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4111,PROJECT,1002,POJ001,1,7,13,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4111,PROJECT,1002,POJ001,1,7,13,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4112,RESEARCH PROJECT,1002,POJ001,1,1,3,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4112,RESEARCH PROJECT,1002,POJ001,1,1,3,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4112,RESEARCH PROJECT,1002,POJ001,1,5,5,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4112,RESEARCH PROJECT,1002,POJ001,1,5,5,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4112,RESEARCH PROJECT,1002,POJ001,1,7,13,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4112,RESEARCH PROJECT,1002,POJ001,1,7,13,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4402,ADVANCED ANALYTICAL TECHNIQUES FOR FOOD HAZARDS,1009,LAB001,1,1,13,Fri,8:30,11:20,"Y1023, Y1308","Chiou, Jiachi amber, Yanjuan Gu, Zhongping Yao",
ABCT4402,ADVANCED ANALYTICAL TECHNIQUES FOR FOOD HAZARDS,1009,LEC001,1,1,13,Mon,11:30,13:20,QR610,"Chiou, Jiachi amber, Zhongping Yao",
ABCT4402,ADVANCED ANALYTICAL TECHNIQUES FOR FOOD HAZARDS,1009,TUT001,1,1,13,Tue,10:30,11:20,QR504,"Chiou, Jiachi amber, Zhongping Yao",
ABCT4409,FOOD BIOTECHNOLOGY,1009,LAB001,1,1,13,Wed,8:30,11:20,Y1118,"WONG, Marcus Ho yin",
ABCT4409,FOOD BIOTECHNOLOGY,1009,LEC001,1,1,13,Tue,8:30,10:20,R501,"WONG, Marcus Ho yin",
ABCT4409,FOOD BIOTECHNOLOGY,1009,TUT001,1,1,13,Tue,11:30,12:20,QR610,"WONG, Marcus Ho yin",
ABCT4413,FOOD PROCESSING II,1009,LAB001,1,1,6,Mon,14:30,18:20,"U512, U513, Y1022, Y1023","GENG, Ping, LI, christine SY, WU Jianyong",
ABCT4413,FOOD PROCESSING II,1009,LEC001,1,1,13,Thu,13:30,15:20,W208,"LI, christine SY, WU Jianyong",
ABCT4413,FOOD PROCESSING II,1009,TUT001,1,1,13,Wed,16:30,17:20,W208,"LI, christine SY, WU Jianyong",
ABCT4414,FOOD PROCESSING LABORATORY,1009,LAB001,1,7,13,Mon,14:30,18:20,"U512, U513, Y1022, Y1023","GENG, Ping, LAM Kim Hung",
ABCT4415,SANITATION AND FOOD HYGIENE MANAGEMENT,1009,LTL001,1,1,13,Thu,15:30,17:20,W208,Kahing Wong,
ABCT4417,PROJECT,1009,POJ001,1,1,13,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4417,PROJECT,1009,POJ001,1,1,13,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4418,RESEARCH PROJECT,1009,POJ001,1,1,13,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4418,RESEARCH PROJECT,1009,POJ001,1,1,13,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4633,QUALITY MANAGEMENT AND LABORATORY ACCREDITATION,1006,LEC001,1,1,13,Thu,8:30,10:20,R503,"CHOI, Koon-kay, KF Yung",
ABCT4633,QUALITY MANAGEMENT AND LABORATORY ACCREDITATION,1006,TUT001,1,1,13,Tue,17:30,18:20,R408,"ALSTON LEE, CHOI, Koon-kay, KF Yung",
ABCT4708,PRINCIPLES OF QUALITY ASSURANCE,"1001, 1002",LTL001,1,1,13,Tue,11:30,13:20,Y512,"Ka-sing LEUNG, LIANG Hanhua",
ABCT4708,PRINCIPLES OF QUALITY ASSURANCE,"1001, 1002",LTL001,1,1,13,Wed,11:30,12:20,Y512,"Ka-sing LEUNG, LIANG Hanhua",
ABCT4709,PROJECT,1001,LTL001,1,1,13,Tue,13:30,16:20,"Y1023, Y1308, Y1315",gary cheung,
ABCT4709,PROJECT,1001,POJ001,1,1,13,Sat,9:30,12:20,"Y1023, Y1308, Y1315",gary cheung,
ABCT4709,PROJECT,1001,POJ001,1,1,13,Sat,14:30,17:20,"Y1023, Y1308, Y1315",gary cheung,
ABCT4741,INDUSTRIAL ELECTROCHEMISTRY,1001,LEC001,1,1,13,Wed,13:30,15:20,QR610,"LEE, Lawrence YS, gary cheung",
ABCT4741,INDUSTRIAL ELECTROCHEMISTRY,1001,TUT001,1,1,13,Wed,15:30,16:20,QR610,"LEE, Lawrence YS, gary cheung",
ABCT4743,ADVANCED ANALYTICAL TECHNIQUES,"1001, 1006",LEC001,1,1,13,Thu,16:30,18:20,Y409,"LEE, Lawrence YS, Zhongping Yao",
ABCT4743,ADVANCED ANALYTICAL TECHNIQUES,"1001, 1006",TUT001,1,1,13,Fri,17:30,18:20,Y409,"LEE, Lawrence YS, Zhongping Yao",
ABCT4758,ADVANCED ANALYTICAL TECHNIQUES LABORATORY,"1001, 1006",LAB001,1,1,13,Tue,8:30,11:20,"Y1023, Y1308","GENG, Ping, LEE, Lawrence YS",
ABCT4760,INDUSTRIAL ELECTROCHEMISTRY LABORATORY,1001,LAB001,1,1,13,,,,N/A,Not Applicable,
ABCT4760,INDUSTRIAL ELECTROCHEMISTRY LABORATORY,1001,LAB002,1,1,13,Wed,8:30,11:20,"Y1022, Y1023","Yanjuan Gu, gary cheung",
ABCT4765,ECONOMIC ANALYSIS FOR PROCESS TECHNOLOGY,"1001, 1009",LEC001,1,1,13,Mon,8:30,10:20,Y303,LIANG Hanhua,
ABCT4765,ECONOMIC ANALYSIS FOR PROCESS TECHNOLOGY,"1001, 1009",TUT001,1,1,13,Wed,17:30,18:20,W208,LIANG Hanhua,
ABCT4769,PROJECT,1001,POJ001,1,1,13,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4769,PROJECT,1001,POJ001,1,1,13,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4770,RESEARCH PROJECT,1001,POJ001,1,1,13,Sat,9:30,12:20,N/A,Not Applicable,
ABCT4770,RESEARCH PROJECT,1001,POJ001,1,1,13,Sat,14:30,17:20,N/A,Not Applicable,
ABCT4779,NATURAL PRODUCTS CHEMISTRY,"1001, 1002, 1006, 1009",LEC001,1,2,13,Mon,8:30,10:20,QR513,ray COOPER,
ABCT4779,NATURAL PRODUCTS CHEMISTRY,"1001, 1002, 1006, 1009",TUT001,1,1,13,Mon,10:30,11:20,QR513,ray COOPER,
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,3,3,Sat,9:30,13:20,Y716,Dr Clare Narrod,
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,3,3,Sun,9:30,13:20,Y716,Dr Clare Narrod,
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,3,3,Sun,14:30,18:20,Y716,Dr Clare Narrod,
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,3,3,Sat,14:30,18:20,Y716,Dr Clare Narrod,
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,3,3,Fri,18:30,21:20,Y716,Dr Clare Narrod,
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,4,4,Mon,9:30,13:20,Y716,Dr Clare Narrod,
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,4,4,Mon,14:30,18:20,Y716,Dr Clare Narrod,
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,6,8,Sat,9:30,13:20,Y716,"KWOK, KWH",
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,6,8,Sat,14:30,18:20,Y716,"KWOK, KWH",
ABCT5011,FOOD SAFETY RISK ANALYSIS,1010,LTL001,1,10,12,Sat,9:30,13:20,Y716,Ka-sing LEUNG,
